cust_id,gender
3500,0.7247537
3501,0.33841598
3502,0.50712395
3503,0.22289461
3504,0.5260587
3505,0.31944293
3506,0.30402267
3507,0.6915927
3508,0.15491915
3509,0.059164613
3510,0.09056145
3511,0.33042645
3512,0.504941
3513,0.051236987
3514,0.6299022
3515,0.4606988
3516,0.020400047
3517,0.13466313
3518,0.28336328
3519,0.5536669
3520,0.6558675
3521,0.56836826
3522,0.4967998
3523,0.15857106
3524,0.1257137
3525,0.55150914
3526,0.22460878
3527,0.8108089
3528,0.5093782
3529,0.21466506
3530,0.28416252
3531,0.739153
3532,0.03916526
3533,0.22615585
3534,0.69978523
3535,0.26268
3536,0.14332104
3537,0.6162922
3538,0.49087757
3539,0.33275414
3540,0.2692036
3541,0.27618536
3542,0.0899345
3543,0.84074986
3544,0.5156866
3545,0.8162026
3546,0.56616294
3547,0.20116097
3548,0.7169933
3549,0.3669531
3550,0.26821294
3551,0.647672
3552,0.12128267
3553,0.31734112
3554,0.39481002
3555,0.27363938
3556,0.6304754
3557,0.16826528
3558,0.05306834
3559,0.30484653
3560,0.5030063
3561,0.3876685
3562,0.65876454
3563,0.63837516
3564,0.74524367
3565,0.23770872
3566,0.019934893
3567,0.3593518
3568,0.5920905
3569,0.13970259
3570,0.20986316
3571,0.25425598
3572,0.6895874
3573,0.6530217
3574,0.3558394
3575,0.6213977
3576,0.7557533
3577,0.27586734
3578,0.24111077
3579,0.20710784
3580,0.60164565
3581,0.6687269
3582,0.7356149
3583,0.79799676
3584,0.34983554
3585,0.5982673
3586,0.006545812
3587,0.34093714
3588,0.15454584
3589,0.15129378
3590,0.7299429
3591,0.023401827
3592,0.8179816
3593,0.47540498
3594,0.022709608
3595,0.6095053
3596,0.21702263
3597,0.042562604
3598,0.36368024
3599,0.5955102
3600,0.5401826
3601,0.13778481
3602,0.17744446
3603,0.03052181
3604,0.82745665
3605,0.2520239
3606,0.50307435
3607,0.17067632
3608,0.53480935
3609,0.29400524
3610,0.30215985
3611,0.5900042
3612,0.6731007
3613,0.25630343
3614,0.40530807
3615,0.06072849
3616,0.5362577
3617,0.6550948
3618,0.62926805
3619,0.71345496
3620,0.27647573
3621,0.509966
3622,0.22723365
3623,0.644731
3624,0.13205421
3625,0.47167468
3626,0.80906177
3627,0.25617725
3628,0.7117281
3629,0.26473343
3630,0.70349723
3631,0.22150165
3632,0.7314255
3633,0.05480036
3634,0.0835565
3635,0.7694646
3636,0.7880452
3637,0.07315397
3638,0.40502796
3639,0.6339352
3640,0.5754645
3641,0.1092262
3642,0.7789855
3643,0.059701115
3644,0.16670802
3645,0.24963096
3646,0.11825472
3647,0.20254526
3648,0.69274086
3649,0.18029618
3650,0.6315042
3651,0.8628684
3652,0.917886
3653,0.11889562
3654,0.39438054
3655,0.4466299
3656,0.56079596
3657,0.43578205
3658,0.3034743
3659,0.2827974
3660,0.19459048
3661,0.370973
3662,0.022616267
3663,0.6053843
3664,0.27992326
3665,0.8161329
3666,0.7053521
3667,0.4996136
3668,0.024034113
3669,0.63977736
3670,0.13397586
3671,0.65651214
3672,0.05873573
3673,0.30966717
3674,0.24715185
3675,0.85217154
3676,0.10118064
3677,0.29864734
3678,0.42702183
3679,0.12876093
3680,0.04040888
3681,0.61628485
3682,0.6160245
3683,0.0749751
3684,0.88465923
3685,0.9369501
3686,0.6705235
3687,0.40266877
3688,0.060968816
3689,0.63341206
3690,0.781481
3691,0.16750276
3692,0.80148095
3693,0.2752149
3694,0.2920373
3695,0.81827974
3696,0.66804665
3697,0.70751107
3698,0.73969555
3699,0.25172365
3700,0.0468615
3701,0.0059174895
3702,0.5978359
3703,0.5018788
3704,0.6275997
3705,0.31802124
3706,0.19796866
3707,0.023781478
3708,0.016459316
3709,0.1481731
3710,0.16405404
3711,0.19777766
3712,0.5719967
3713,0.08143371
3714,0.33912447
3715,0.34887463
3716,0.106878996
3717,0.26055798
3718,0.0835973
3719,0.11537486
3720,0.5701084
3721,0.48999125
3722,0.17603564
3723,0.6735621
3724,0.40496546
3725,0.2922941
3726,0.4563057
3727,0.74718213
3728,0.22819209
3729,0.65758806
3730,0.2807416
3731,0.20320445
3732,0.7260061
3733,0.8702611
3734,0.0059528053
3735,0.7353036
3736,0.58093035
3737,0.57172793
3738,0.111501515
3739,0.5992883
3740,0.5265356
3741,0.6390977
3742,0.09075919
3743,0.12834197
3744,0.3256583
3745,0.54489076
3746,0.54857004
3747,0.05592954
3748,0.080242425
3749,0.53633213
3750,0.17406991
3751,0.5662503
3752,0.16743028
3753,0.7076037
3754,0.24581331
3755,0.6522589
3756,0.6107384
3757,0.029522091
3758,0.41270676
3759,0.20709977
3760,0.26910675
3761,0.5787976
3762,0.03915128
3763,0.23050648
3764,0.63052166
3765,0.009410083
3766,0.30505198
3767,0.8056842
3768,0.81703496
3769,0.7272515
3770,0.7439654
3771,0.04230669
3772,0.5916199
3773,0.588042
3774,0.19075799
3775,0.8202963
3776,0.6810557
3777,0.63172597
3778,0.2876463
3779,0.039892286
3780,0.1128504
3781,0.16201985
3782,0.36204815
3783,0.57511735
3784,0.19243652
3785,0.705515
3786,0.18660918
3787,0.8588259
3788,0.27710003
3789,0.1983706
3790,0.6535189
3791,0.64474744
3792,0.6440632
3793,0.6119068
3794,0.18185693
3795,0.60502106
3796,0.019459665
3797,0.54559034
3798,0.51568633
3799,0.03478831
3800,0.29395214
3801,0.25499415
3802,0.07808998
3803,0.3386069
3804,0.86499035
3805,0.3503633
3806,0.7469498
3807,0.061189443
3808,0.5910734
3809,0.38094652
